SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,,,,
 Administrative expenses ,55150334,SOCIAL SECURITY FOR NON KUWAITI,6313.03,1216.184,0,7529.214,,,,,,,,
 Administrative expenses ,55150336,ADDITIONAL WHS,21024.6,2353,0,23377.6,,,,,,,,
 Distribution Costs ,55150339,ADDITIONAL TRUCKS,1185,0,0,1185,,,,,,,,
 Administrative expenses ,55150340,MIRNA EXPENSE,600,100,0,700,,,,,,,,
 Administrative expenses ,55150341,ONLINE SERVER,800,100,0,900,,,,,,,,
 Administrative expenses ,55150344,PANTRY EXPENSES,2853.563,383.633,0,3237.196,,,,,,,,
 Administrative expenses ,55150345,BUSINESS LUNCH,2902.443,550.803,0,3453.246,,,,,,,,
 Administrative expenses ,55150348,SABHAN WAREHOUSE RENT,120000,20000,0,140000,,,,,,,,
 Management fees ,55150349,MANAGEMENT FEES - TIH,19207.002,3201.167,0,22408.169,,,,,,,,
 Administrative expenses ,55150351,LICENSE,0,2333,2000,333,,,,,,,,
 Administrative expenses ,55150352,AMC - ANNUAL MAINTENANCE CONTRACT,7899.998,2838.333,0,10738.331,,,,,,,,
 Administrative expenses ,55150353,ISO 9001:2015 & ISO 22000:2018,1680,613.333,280,2013.333,,,,,,,,
 Depreciation & amortization ,55160102,DEPRECIATION ON CARS,1871.376,1249.396,0,3120.772,,,,,,,,
 Depreciation & amortization ,55160103,DEPRECIATION ON EQUIPMENT,38431.298,6547.332,0,44978.63,,,,,,,,
 Depreciation & amortization ,55160104,DEPRECIATION ON COMPUTERS,2685.412,459.917,0,3145.329,,,,,,,,
 Finance Cost ,55170101,BANK INTEREST,1,0,0,1,,,,,,,,
 Finance Cost ,55170102,BANK CHARGES,2305.068,1438.115,968,2775.183,,,,,,,,
 Finance Cost ,55170108,INTEREST INCOME - GOODLIFE,-5963,0,1210,-7173,,,,,,,,
 Cash & Chq in Hand ,11110101,CASH AND CHEQUES ON HAND,0,58826.494,58826.494,0,,,,,,,,
 Cash & Chq in Hand ,11110102,PETTY CASH HEAD OFFICE,4122.155,13621.105,15576.005,2167.255,,,,,,,,
 Cash & Chq in Hand ,11110120,CASH  ON HAND HHT,-0.847,7658.923,7658.09,-0.014,,,,,,,,
 Cash & Chq in Hand ,11110122,PETTY CASH IMPREST - LOGISTICS,500,0,0,500,,,,,,,,
 Cash & Chq in Hand ,11110123,PETTY CASH IMPREST - HR,500,0,0,500,,,,,,,,
 Bank Balance and cash ,11110201,GULF BANK 09633119,121.856,0,0,121.856,,,,,,,,
 Bank Balance and cash ,11110202,KUWAIT FINANCE HOUSE (K.F.H),13854.904,198747.816,100010,112592.72,,,,,,,,
 Bank Balance and cash ,11110203,AL AHLI BANK KD A/C,72973.526,0,0,72973.526,,,,,,,,
 Bank Balance and cash ,11110205,BURGAN BANK,3925.61,0,0,3925.61,,,,,,,,
 Bank Balance and cash ,11110206,NATIONAL BANK(0003868710101 - KD),184282.948,596583.447,655804.566,125061.829,,,,,,,,
 Bank Balance and cash ,11110207,GULF BANK 06219808,183435.83,471959.763,400226.092,255169.501,,,,,,,,
 Bank Balance and cash ,11110210,GULF BANK 04803038 ($),2745.495,1743.685,0,4489.18,,,,,,,,
 Bank Balance and cash ,11110218,BANK OF BAHRAIN KUWAIT - BBK,668010.344,253108.17,620592.033,300526.481,,,,,,,,
 Bank Balance and cash ,11110219,FIXED DEPOSIT - 1,500000,250000,0,750000,,,,,,,,
 Bank Balance and cash ,11110220,FIXED DEPOSIT - 2,500000,250000,0,750000,,,,,,,,
 Bank Balance and cash ,11110221,KUWAIT INTERNATIONAL BANK - KIB 011010223151,1000,0,0,1000,,,,,,,,
 Cash & Chq in Hand ,11110301,CHEQUES ON HAND,1.295,190721.168,190721.168,1.295,,,,,,,,
 Cash & Chq in Hand ,11110302,POST DATED CHEQUES,41335.305,64616.687,57594.837,48357.155,,,,,,,,
 Cash & Chq in Hand ,11110303,IMMATURE CHEQUES,-31495.619,28229.246,37887.441,-41153.814,,,,,,,,
 Cash & Chq in Hand ,11110310,POST DATED CHEQUES HHT,-9842.909,0,0,-9842.909,,,,,,,,
 Account Receivable & Prepayments ,11110609,STAFF ZAIN BILLS CONTROL,5289.136,1248.176,101.93,6435.382,,,,,,,,
 Cash & Chq in Hand ,11110610,PETTY CASH - CASH SALARY,502.036,4924.73,5193,233.766,,,,,,,,
 Account Receivable & Prepayments ,11110612,HARIBO CLAIM,4910,0,0,4910,,,,,,,,
 Account payables and accruals ,11110614,BAHLSEN CLAIMS,1219.92,0,0,1219.92,,,,,,,,
 Account Receivable & Prepayments ,11110618,LORENZ CLAIMABLE,1200,0,0,1200,,,,,,,,
 Account Receivable & Prepayments ,11110619,FERGULF KUWAIT GEN TRAD COMPANY,298862.219,116200.699,86569.17,328493.748,,,,,,,,
 Account payables and accruals ,11110620,METCO (MIDDLE EAST TELECOMMUNICATION),7,0,0,7,,,,,,,,
 Account payables and accruals ,11110621,SUPPLIER CLAIMS - IMPORTS,8719.635,0,0,8719.635,,,,,,,,
 Cash & Chq in Hand ,11110622,PETTY CASH CONTROL,0,10954.9,10954.9,0,,,,,,,,
 Account Receivable & Prepayments ,11110623,FERGULF MARKET SPENDS,35618.565,0,0,35618.565,,,,,,,,
 Account Receivable & Prepayments ,11110624,AL THIQA CLAIMS,-737.273,7250,8802.836,-2290.109,,,,,,,,
 Account Receivable & Prepayments ,11110625,BATEEL CLAIMS,6060,2020,0,8080,,,,,,,,
 Account Receivable & Prepayments ,11120101,TRADE RECEIVABLE,1436116.679,1062457.257,1131218.529,1367355.407,,,,,,,,
 Account payables and accruals ,11120111,PROVISION FOR DEBIT NOTES,-6136.45,0,0,-6136.45,,,,,,,,
 Account Receivable & Prepayments ,11120112,PROVISION FOR BAD & DOUBTFUL - CA,-224420.874,0,2407.563,-226828.437,,,,,,,,
 Account Receivable & Prepayments ,11120113,PROVISION FOR BAD & DOUBTFUL - FSD,-278965.69,0,0,-278965.69,,,,,,,,
 Account Receivable & Prepayments ,11120301,PREPAID RENTS,0,3094,0,3094,,,,,,,,
 Account Receivable & Prepayments ,11120302,REFUNDABLE DEPOSIT,7182.403,3094,196.89,10079.513,,,,,,,,
 Account Receivable & Prepayments ,11120303,PREPAID EXPENSES,3047.598,0,683.067,2364.531,,,,,,,,
